Easements,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR,XCoord,YCoord
1,18300,6000,2,1,0,1,183,100,100,60,123750,230400,0,0,1931,0.33,0.6,0,1,946860,167930
1,15500,1280,3,2.5,1,1,40,124,20,28,15089,20071,0,0,1925,0.08,0.6,0,1,946915,168035
4,426800,101581,2,1,0,17,110,214,50,205,4801500,7172100,0,960750,1981,0.24,1.25,1,2,946756,167606
1,586050,245118,12,1,0,22,40,680,111,712,7911900,12607200,0,22500,1957,0.42,1.25,1,2,945838,167173
1,30680,0,0,0,0,0,201,167,0,0,607050,607050,0,0,0,0,2.43,3.4,4.8,947039,171877
1,1720,1215,1,2,1,1,50,100,15,28,527,14182,0,0,1901,0.71,0.6,0,1,945516,169586
1,5000,1466,1,2,2,2,50,100,18,34,8640,16200,1610,1610,1905,0.29,0.6,0,1,945560,169562
1,3100,1106,1,1.5,1,1,40,100,20,46,5820,14460,0,0,1945,0.36,0.6,0,1,945488,169480
1,1000,1334,2,2.5,2,2,69,100,18,42,1201,11893,0,0,1910,1.33,0.6,0,1,945440,169513
1,5300,1800,1,2,1,1,50,100,20,45,8880,16140,3440,3440,2014,0.34,0.6,0,1,945377,169315
1,790,1380,1,2,2,2,39,100,18,40,1080,11460,1080,1610,1905,1.75,0.6,0,1,945329,169341
1,756,1317,1,2.5,2,2,42,100,20,35,801,11448,0,0,1915,1.74,0.6,0,1,945232,169229
1,4500,2375,1,2.5,2,2,47.5,100,18,48,7500,17760,1610,1610,1915,0.53,0.6,0,1,945282,169202
1,7200,1210,1,2.5,1,1,72,100,22,29,10020,16140,1610,1610,1915,0.17,0.6,0,1,945223,169119
1,720,1180,1,2.5,2,2,43,102,16,26,2220,13140,0,0,1915,1.64,0.6,0,1,945163,169159
1,57648,1500,1,1,0,1,508,405,0,0,186300,239400,0,0,1990,0.03,0,1,2.4,944882,172431
1,2117,1680,1,2,2,2,26,63,14,40,3495,14246,1610,1610,2001,0.79,0.6,0,1,944261,171062
1,5000,1560,1,2.5,1,1,50,100,18,40,6483,17317,0,0,1935,0.31,0.6,0,1,944291,171118
